Just Tempered (Schugk),15.641,-13.686,19.551,31.282,1.955,13.686,5.864,17.596,29.327,0.000,33.237,3.910
Just Tempered (Barbour),15.641,-13.686,19.551,31.282,1.955,13.686,5.864,17.596,-11.732,0.000,33.237,3.910
Naturally harmonious (Thirds),15.641,27.372,19.551,31.282,1.955,13.686,5.864,17.596,29.327,0.000,11.731,3.910
Naturally harmonious,15.641,27.372,19.551,31.282,1.956,13.686,5.864,17.596,29.327,0.000,33.237,3.910
Pythagorean,-5.865,7.820,-1.955,-11.730,1.955,-7.820,5.865,-3.910,9.775,0.000,-9.775,3.910
Pythagorean (Perfect),15.640,7.820,19.550,11.730,1.955,13.685,5.865,17.595,9.775,0.000,11.730,3.910
Pythagorean (Fifth chain Cb - E),-5.865,-15.640,-1.955,-11.730,1.955,-7.820,-17.595,-3.910,-13.685,0.000,-9.775,-19.550
Pythagorean (Fifth chain Db - F#),-5.865,-15.640,-1.955,-11.730,1.955,-7.820,5.865,-3.910,-13.685,0.000,-9.775,3.910
Pythagorean (Fifth chain Ebb - G),17.595,7.820,-1.955,11.730,1.955,15.640,5.865,19.550,9.775,0.000,13.685,3.910
Pythagorean (Fifth chain Fb - A),-5.865,-15.640,-1.955,-11.730,-21.505,-7.820,-17.595,-3.910,-13.685,0.000,-9.775,-19.550
Pythagorean (Fifth chain F - A#),-5.865,7.820,-1.955,11.730,1.955,-7.820,5.865,-3.910,9.775,0.000,13.685,3.910
Pythagorean (Fifth chain Gb - B),-5.865,-15.640,-1.955,-11.730,1.955,-7.820,-17.595,-3.910,-13.685,0.000,-9.775,3.910
Pythagorean (Fifth chain Ab - C#),-5.865,7.820,-1.955,-11.730,1.955,-7.820,5.865,-3.910,-13.685,0.000,-9.775,3.910
Pythagorean (Fifth chain Bb - D#),-5.865,7.820,-1.955,11.730,1.955,-7.820,5.865,-3.910,9.775,0.000,-9.775,3.910
Meantone,8.798,-9.775,2.933,15.640,-2.932,11.731,-7.819,5.865,-10.752,0.000,13.686,-5.864
Meantone # (-1/4),10.265,-13.686,3.422,-20.529,-3.421,13.686,-10.265,6.843,-17.108,0.000,-23.951,-6.843
Meantone b (-1/4),10.265,27.373,3.422,20.530,-3.421,13.686,30.794,6.843,23.951,0.000,17.108,-6.843
Meantone (-1/4) (LargeThird),10.265,-13.686,3.422,20.530,-3.421,13.686,-10.265,6.843,-17.108,0.000,17.108,-6.843
